2024-11-18T17:36:58,tes1,test2
2024-11-18T17:36:58,0,winposition,5
2024-11-18T17:36:58,1,minigamestart,start
2024-11-18T17:36:58,2,playerhit,you lose
2024-11-18T17:36:58,3,minigamestart,restart
2024-11-18T17:36:58,4,playerhit,you win
2024-11-18T17:36:58,5,minigamestart,restart
2024-11-18T17:36:58,6,playerhit,you win
2024-11-18T17:36:58,7,minigamestart,restart
2024-11-18T17:36:58,8,playerhit,you win
